2024 NSW Rapid
 Cross Table at round 7 sorted by score

Pos NAME                           Rtg   T  Fed  Pts |   1     2     3     4     5     6     7    |  User  
 91 Dorrian,Benjamin               1494     NSW  3.0 | -B129 +W130 +B121 +W111 -B17  -W46  -B40   |    0.0 
 92 Tyler,Jason                (W) 1466     NSW  3.0 | +W130 -B123 +W131 +B110 -W2    --    --    |    0.0 
 93 Banicevic,Roy                  1465     NSW  3.0 | -B108 +W145 +B109 +W112 -B19  -W64  -B50   |    0.0 
 94 Morrison,Joshua                1440     NSW  3.0 | +W146 -B16  -W59  +B127 -W18  +B107 -W44   |    0.0 
 95 Cyriac,Jose                    1428     NSW  3.0 | =B139 -W120 +B141 =W71  -W39  +B130 -W47   |    0.0 
 96 Bowmaker-Ksiazek,Koe           1413     NSW  3.0 | +B141 -W43  -B60  +W126 -W20  +B135 -W48   |    0.0 
 97 Yendluri,Rithvik Chowdary      1389     NSW  3.0 | -B109 +W84  -B61  +W118 -B69  =W121 =B112  |    0.0 
 98 Gu,Ryan                        1342     NSW  3.0 | -W132 -B146 =W84  -B140 +W141 =B137 +W123  |    0.0 
 99 Robinson,Andrew                1333     NSW  3.0 | -B61  +W140 -B112 +W109 -B46  -W113 +B126  |    0.0 
100 Scott,Daniel                   1325     NSW  3.0 | +W150 -B41  -W135 -B107 +W131 -B110 +W130  |    0.0 
101 Sweeney,Matthew                1312     NSW  3.0 | +B133 -W48  -B113 -W21  +B109 -W111 +B128  |    0.0 
102 Ullah,Sami                     1203     NSW  3.0 | +W134 -B85  -W110 -B130 +B147 -W37  +B129  |    0.0 
103 Wang,Isaac (Yijun)             1122     NSW  3.0 | +W136 -B44  -W39  +B146 -W45  -B86  +W131  |    0.0 
104 Shettigar,Harsha               1112     NSW  3.0 | -B62  -W60  +B133 +W142 -B50  -W87  +B134  |    0.0 
105 Kulkarni,Mahesh                1059     NSW  3.0 | -W110 +B150 -W86  +B131 -W44  -B48  +W132  |    0.0 
106 Joseph,Alvin                   1024     NSW  3.0 | +F151 -W50  -B24  -B78  +W142 -B49  +W135  |    0.0 
107 Cross,Patrick                   705     NSW  3.0 | -B82  +W152 -B75  +W100 -B73  -W94  +B124  |    0.0 
108 Khadka,Ronav                    480     NSW  3.0 | +W93  -B51  +W55  +B70  -W7   -B41  -W49   |    0.0 
109 Chan,Daniel                       0     NSW  3.0 | +W97  -B74  -W93  -B99  -W101 +B127 +W125  |    0.0 
110 Saha,Binoy                        0     AUS  3.0 | +B105 -W144 +B102 -W92  -B55  +W100 -B53   |    0.0 
111 Tam,Li Zhang                      0     MAS  3.0 | +W127 -B80  +W116 -B91  -W51  +B101 -W52   |    0.0 
112 Widdowson,Daniel                  0     AUS  3.0 | +W138 -B34  +W99  -B93  -W74  =B116 =W97   |    0.0 
113 Ye,Justin                         0     NSW  3.0 | -B128 +BYE  +W101 -B34  -W88  +B99  -W72   |    0.0 
114 Gatzen-O'Keefe,Thomas      (W) 1954     ACT  2.5 | =W33  +B76  +W58   --    --    --    --    |    0.0 
